country,tests,testpop,density,urbanpop,quarantine,schools,restrictions,hospibed,medianage,gdp2018,crime_index,population2020,smoking2016,females2018
Mexico,NA,NA,66,84,,,,1.5,28.3,1.2207E+12,52.51,128932.753,14,51.08928083
Moldova,NA,NA,123,43,,,,5.8,36.7,11443671436,45.7,4033.963,24.2,52.03556312
Mongolia,NA,NA,2,67,,,,7,28.3,13066749138,57.76,3278.29,25.6,50.66954471
Montenegro,NA,NA,47,68,,,,4,40.7,5504166667,39.67,628.066,45.9,50.55901294
Morocco,NA,NA,83,64,,,,1.1,29.3,1.17921E+11,49.53,36910.56,23.4,50.40384729
Namibia,NA,NA,3,55,,,,2.7,21.2,14521711634,68.14,2540.905,21.4,51.55369032
Nepal,NA,NA,203,21,,,,0.3,24.1,29040398982,35.7,29136.808,22.8,54.53534333
Netherlands,6000,2855.812,508,92,,3/15/20,3/15/20,4.7,42.6,9.13658E+11,28.54,17134.872,25.8,50.22094356
New Zealand,584,8257.248288,18,87,3/23/20,,,2.8,37.9,2.04924E+11,40.89,4822.233,16,50.8377694
Nigeria,NA,NA,226,52,,,,0.3,18.4,3.9727E+11,64.64,206139.589,5.8,49.33611355
Norway,18062,300.1462186,15,83,,3/12/20,3/12/20,3.9,39.2,4.34167E+11,33.51,5421.241,20.2,49.52463113
Oman,NA,NA,16,87,,,,1.6,25.6,79276723017,21.55,5106.626,11.1,34.01408352
Pakistan,531,415993.1073,287,35,,,,0.6,23.8,3.14588E+11,44.58,220892.34,20.1,48.53807472
Panama,756,5707.363757,58,68,,,,2.3,29.2,65055100000,45.47,4314.767,6.1,49.90538365
Peru,NA,NA,26,79,3/15/20,,,1.6,28,2.22045E+11,64.58,32971.854,4.8,50.33775549
Philippines,1030,106389.3961,368,47,,,,1,23.5,3.3091E+11,41.09,109581.078,24.3,49.74165739
Poland,7899,4791.316749,124,60,,3/11/20,3/20/20,6.5,40.7,5.85664E+11,29.67,37846.611,28,51.53070738
Portugal,NA,NA,111,66,,3/19/20,3/19/20,3.4,42.2,2.40675E+11,30.11,10196.709,22.7,52.71196171
Qatar,NA,NA,248,96,,,,1.2,33.2,1.91362E+11,12,2881.053,20.6,24.49528738
