"","Both.sexes","Male","Female"
"Republic of North Macedonia",60.9,67.4,54.6
"Timor-Leste",17.9,15.6,20.3
"Togo",25,17.6,32
"Tonga",75.6,71,80.1
"Trinidad and Tobago",48.1,38.7,57.1
"Tunisia",62.2,57.4,66.7
"Turkey",66.9,63.7,70
"Turkmenistan",49.6,49.7,49.5
"Tuvalu",81,78.9,83.1
"Uganda",19,11.8,26.2
"Ukraine",61.9,63.9,60.3
"United Arab Emirates",65.9,65.2,67.7
"United Kingdom of Great Britain and Northern Ireland",67.2,71.8,62.7
"United Republic of Tanzania",24.5,17.4,31.4
"United States of America",70.2,74.8,65.8
"Uruguay",64.5,65.9,63.3
"Uzbekistan",45.7,44.9,46.5
"Vanuatu",54.1,49.4,58.9
"Venezuela (Bolivarian Republic of)",62.6,62,63.2
"Viet Nam",18.3,15.9,20.5
"Yemen",42.3,38.3,46.3
"Zambia",23.9,16.7,31
"Zimbabwe",32.4,18.8,45.5
