"country_code","country","air_year","air_passengers","econ_worldrank","econ_regionrank","econ_2019score","econ_propertyrights","econ_judical","econ_gov_integrity","econ_taxburden","econ_govspending","econ_fiscalhealth","econ_businessfreedom","econ_laborfreedom","econ_monetaryfreedom","econ_tradefreedom","econ_investmentfreedom","econ_financialfreedom","econ_tariffrate","econ_incometaxrate","econ_corporatetaxrate","econ_taxburdengdp","econ_govexpendgdp","econ_popmills","econ_gdpbills","econ_gdpgrowthrate","econ_yeargdpgrowthrate","econ_gdppercapita","econ_unemployment","econ_inflation","econ_fdiflowmills","econ_publicdeptofgdp","hospbeds_year","hospbeds_per1k","docs_year","docs_per1k","pollution_960","pollution_961","pollution_962","pollution_963","pollution_964","pollution_965","pollution_966","pollution_967","pollution_968","pollution_969","pollution_970","pollution_971","pollution_972","pollution_973","pollution_974","pollution_975","pollution_976","pollution_977","pollution_978","pollution_979","pollution_980","pollution_981","pollution_982","pollution_983","pollution_984","pollution_985","pollution_986","pollution_987","pollution_988","pollution_989","pollution_990","pollution_991","pollution_992","pollution_993","pollution_994","pollution_995","pollution_996","pollution_997","pollution_998","pollution_999","pollution_000","pollution_001","pollution_002","pollution_003","pollution_004","pollution_005","pollution_006","pollution_007","pollution_008","pollution_009","pollution_010","pollution_011","pollution_012","pollution_013","pollution_014","pollution_015","pollution_016","pollution_017","pollution_018","pollution_019","pop65above_year","pop65above_percent","prisoncount_year","prison_count","prisonrate_year","prison_rate","rail_year","rail_millionpassengerkm","sars_cases","sars_deaths","sars_recovered"
"BTN","Bhutan",2018,275849,"74","16","62.9","62.5","55.4","54.5","83.0","71.6","77.6","68.7","79.5","72.6","79.4","20","30","2.8","25.0","30.0","13.4","30.7","0.8","$7.0 ","6.0","5.2","$8,744","2.4","3.4","10.3","102.4",2012,1.7,2012,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,6.003011713,"2014","1119","2014","144.1",NA,NA,0,0,0
"BWA","Botswana",2018,253417,"36","3","69.5","58.1","45.7","52.4","82.7","65.9","94.6","68.7","68.2","78.8","83.8","65","70","0.6","25.0","22.0","24.9","33.7","2.2","$38.9 ","2.2","4.1","$17,828","17.4","3.3","400.6","15.6",2010,1.8,2010,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.223874346,"2017","4343","2017","189.5",2006,94,0,0,0
"CAF","Central African Republic",2001,46364,"161","38","49.1","19.6","29.6","23.2","65.2","94.2","94.3","24.2","40.1","72.3","51.0","45","30","14.5","50.0","30.0","9.0","13.9","5.0","$3.4 ","4.0","-4.5","$677","6.0","3.8","17.2","53.4",2011,1,2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.825773707,"2015","764","2015","16.8",NA,NA,0,0,0
"CAN","Canada",2018,89380000,"8","1","77.7","87.0","69.4","84.6","76.8","51.3","83.1","81.9","73.7","77.2","86.8","80","80","1.6","33.0","15.0","31.7","40.3","36.7","$1,769.3 ","3.0","2.1","$48,265","6.3","1.6","24,243.8","89.7",2012,2.7,2012,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,17.23200668,"2016","41145","2016","113.4",2018,1596.59,14249,2015,8752
"CHE","Switzerland",2018,28857994,"4","1","81.9","85.3","82.0","88.0","70.5","64.8","96.3","75.4","72.5","85.2","87.4","85","90","1.3","40.0","24.0","27.8","34.3","8.4","$517.2 ","1.1","1.6","$61,422","4.8","0.5","40,986.1","42.8",2013,4.7,2013,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,18.62321656,"2017","6564","2017","77.4",2018,17958.315,127,0,75
"CHL","Chile",2018,19517185,"18","3","75.4","68.7","56.3","62.3","77.3","81.0","89.0","76.6","65.0","84.5","88.8","85","70","0.6","35.0","25.0","20.4","25.2","18.4","$451.1 ","1.5","2.2","$24,537","7.0","2.2","6,729.6","23.6",2013,2.2,2013,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,11.52980166,"2017","41762","2017","231.3",2004,820,0,0,0
"CHN","China",2018,611439830,"100","20","58.4","49.9","75.2","49.1","70.4","70.1","76.0","56.2","64.2","71.9","73.0","25","20","3.5","45.0","25.0","17.5","31.6","1390.1","$23,159.1 ","6.9","7.1","$16,660","4.7","1.6","136,320.0","47.8",2012,4.2,2012,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,10.92088354,"2016","1561086","2016","111.3",2018,681203,343093,19738,216323
"CIV","Cote d'Ivoire",2018,779482,"78","5","62.4","40.9","47.8","38.1","77.5","83.9","74.3","61.0","52.5","74.2","73.6","75","50","8.2","36.0","25.0","18.2","23.1","25.0","$96.9 ","7.8","8.6","$3,883","2.6","0.8","674.7","46.4",2006,0.4,2006,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.858943015,"2017","1060","2017","120.9",2003,10,0,0,0
"CMR","Cameroon",2018,265136,"145","29","52.4","42.5","31.3","25.5","74.4","87.5","58.4","44.4","47.8","84.0","53.4","30","50","15.8","35.0","33.0","15.6","20.4","24.3","$88.9 ","3.2","4.9","$3,660","4.2","0.6","672.5","33.8",2010,1.3,2010,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.728877355,"2016","29341","2016","125.1",2018,256872,0,0,0
"COD","Congo (Kinshasa)",2018,932043.4385,"157","34","50.3","25.3","30.7","26.2","73.8","93.9","96.9","53.2","41.9","49.1","62.6","30","20","11.2","30.0","40.0","10.8","14.2","86.7","$68.5 ","3.4","6.1","$790","3.7","41.5","1,340.2","15.7",2006,0.8,2006,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.017840622,"2015","20550","2015","27",2018,29.514,0,0,0
"COG","Congo (Brazzaville)",2018,333899,"176","46","39.7","33.2","29.6","25.3","59.5","40.6","0.0","38.2","35.8","82.6","56.8","45","30","11.6","45.0","34.0","29.5","44.5","4.3","$28.9 ","-4.6","1.1","$6,642","11.0","0.5","1,158.8","119.1",2005,1.6,2005,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.681719539,"2014","1240","2014","25.5",2012,266.47,0,0,0
"COL","Colombia",2018,33704037,"49","8","67.3","59.2","34.3","33.5","74.3","75.0","79.2","71.4","78.5","75.6","76.0","80","70","7.0","33.0","33.0","19.9","28.9","49.3","$714.0 ","1.8","3.2","$14,485","8.9","4.3","14,518.0","49.4",2014,1.5,2014,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,8.47804702,"2017","119491","2017","243.5",NA,NA,53,0,53
"COM","Comoros",1996,27300,"124","20","55.4","36.5","29.6","24.4","63.9","73.4","91.7","57.2","60.3","82.8","70.0","45","30","5.0","30.0","50.0","14.5","29.8","0.8","$1.3 ","2.5","2.2","$1,588","4.3","1.0","8.6","28.4",2010,2.2,2010,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.007009306,"2017","191","2017","23.5",NA,NA,0,0,0
"CPV","Cabo Verde",2018,140429,"73","4","63.1","44.1","49.0","43.7","76.4","71.2","59.7","65.2","55.7","84.1","68.2","80","60","10.9","35.0","24.0","23.7","31.0","0.5","$3.7 ","4.0","2.0","$6,944","10.3","0.8","108.6","126.0",2010,2.1,2010,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.609327157,"2017","1542","2017","282.4",NA,NA,0,0,0
"CRI","Costa Rica",2018,1948546,"61","11","65.3","58.3","54.0","54.5","79.2","88.4","42.5","67.2","55.2","83.2","81.4","70","50","1.8","25.0","30.0","23.6","19.6","5.0","$83.9 ","3.2","3.4","$16,877","8.1","1.6","3,007.1","49.1",2015,1.2,2015,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,9.549847673,"2017","14224","2017","289.9",NA,NA,0,0,0
"CUB","Cuba",2018,560754.332,"178","31","27.8","31.6","10.0","37.7","48.8","0.0","15.6","20.0","20.0","65.6","64.0","10","10","8.0","50.0","30.0","41.5","64.2","11.5","$148.0 ","0.9","1.9","$12,920","2.6","5.5","N/A","47.7",2014,5.2,2014,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,15.18621142,"2012","57337","2012","503.7",2007,1284.8,0,0,0
"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,16.68489481,"2016","377","2016","236.9",NA,NA,0,0,0
"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,3,1990,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","253","2017","408.1",NA,NA,0,0,0
"CYP","Cyprus",2018,401408,"44","22","68.1","73.1","48.1","43.7","74.9","55.2","80.3","76.9","59.5","84.0","86.0","75","60","2.0","35.0","12.5","33.6","38.7","0.9","$31.6 ","3.9","0.3","$37,023","11.0","0.7","6,343.3","99.3",2013,3.4,2013,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,13.71906177,"2017","592","2017","50.2",NA,NA,0,0,0
"CZE","Czechia",2018,5727200,"23","13","73.7","74.8","47.6","52.1","82.6","52.1","97.6","72.4","78.1","81.5","86.0","80","80","2.0","15.0","19.0","34.0","40.0","10.6","$375.7 ","4.3","2.9","$35,512","2.9","2.4","7,412.2","34.7",2015,6.5,2015,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,19.42087689,"2017","22159","2017","208.7",2017,7778,0,0,0
"DEU","Germany",2018,109796202.2,"24","14","73.5","79.9","75.4","81.3","60.8","42.3","91.8","83.3","52.8","77.9","86.0","80","70","2.0","47.5","15.8","37.6","43.9","82.7","$4,170.8 ","2.5","1.7","$50,425","3.8","1.7","34,726.3","64.1",2013,8.3,2013,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,21.461962,"2017","62902","2017","76.6",2018,79456,725,0,586
"DJI","Djibouti",1991,130500,"169","43","47.1","29.7","18.1","28.1","76.2","27.3","18.1","54.7","60.4","72.7","50.4","80","50","17.3","30.0","25.0","29.2","49.2","1.0","$3.6 ","6.7","6.1","$3,559","5.8","0.7","165.0","30.6",2014,1.4,2014,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,4.527579378,"2016","600","2016","63.7",2005,145,0,0,0
"DMA","Dominica",NA,NA,"72","14","63.6","49.2","63.8","54.5","72.1","53.5","84.7","70.7","60.4","85.7","68.2","70","30","8.4","35.0","30.0","25.8","39.4","0.1","$0.8 ","-4.2","0.0","$11,102","N/A","0.6","18.9","87.6",2012,3.8,2012,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016","211","2016","286.9",NA,NA,0,0,0
"DNK","Denmark",2004,6428701,"14","6","76.7","86.2","77.8","85.8","42.0","14.4","96.7","90.7","86.4","84.1","86.0","90","80","2.0","56.0","23.5","45.9","53.4","5.7","$286.8 ","2.1","1.6","$49,883","5.7","1.1","-3,114.7","36.4",2015,2.5,2015,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,19.81295264,"2017","3635","2017","63.4",2017,5829,0,0,0
"DOM","Dominican Republic",2016,11903,"89","19","61.0","50.6","18.1","23.2","84.6","90.3","89.9","51.9","57.6","79.7","75.8","70","40","4.6","25.0","27.0","13.6","17.9","10.2","$172.4 ","4.6","6.1","$16,944","5.5","3.3","3,570.0","37.7",2014,1.6,2014,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,7.082817476,"2017","26286","2017","244.1",NA,NA,0,0,0
"DZA","Algeria",2018,6442442,"171","14","46.2","31.6","36.2","28.9","76.4","48.7","18.7","61.6","49.9","74.9","67.4","30","30","8.8","35.0","23.0","24.5","41.4","41.5","$632.9 ","2.0","3.1","$15,237","10.0","5.6","1,203.0","25.8",2015,1.9,2015,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,6.362496545,"2017","60000","2017","145.2",2017,1550,0,0,0
"ECU","Ecuador",2018,5365261,"170","29","46.9","35.9","20.2","25.3","77.0","55.5","32.1","54.1","48.2","73.5","66.4","35","40","6.8","35.0","25.0","21.2","38.5","16.8","$192.6 ","2.7","2.0","$11,482","3.8","0.4","606.4","45.0",2013,1.5,2013,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,7.157289727,"2017","37497","2017","225.5",NA,NA,0,0,0
"EGY","Egypt",2018,12340832,"144","11","52.5","37.0","48.3","29.2","85.2","68.1","0.0","65.9","51.6","62.3","71.8","60","50","6.6","25.0","23.0","18.0","32.6","94.8","$1,201.2 ","4.2","3.8","$12,671","12.1","23.5","7,391.7","103.3",2014,1.6,2014,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,5.229779346,"2016","106000","2016","110.9",2008,40837,0,0,0
"ERI","Eritrea",2018,102729,"177","47","38.9","35.5","18.1","19.7","81.4","73.9","0.0","17.7","70.0","61.0","69.2","0","20","5.4","30.0","30.0","8.0","29.5","5.9","$9.4 ","5.0","3.4","$1,581","6.4","9.0","55.5","131.2",2011,0.7,2011,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011,4.083856362,NA,NA,NA,NA,NA,NA,0,0,0
"ESP","Spain",2018,80672105,"57","28","65.7","72.9","51.4","51.9","62.3","46.2","51.1","66.8","57.8","87.5","86.0","85","70","2.0","45.0","25.0","33.5","42.3","46.3","$1,773.9 ","3.1","1.9","$38,286","17.2","2.0","19,086.1","98.4",2013,3,2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,19.37850752,"2017","58814","2017","126.9",2018,27903,86,0,63
"EST","Estonia",2018,31981,"15","7","76.6","81.5","76.0","73.1","79.9","51.1","99.8","75.3","57.2","79.6","86.0","90","70","2.0","20.0","20.0","34.7","40.4","1.3","$41.6 ","4.9","2.7","$31,750","5.8","3.7","784.4","8.8",2015,5,2015,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,19.62635685,"2017","2576","2017","196.6",2012,237,0,0,0
"ETH","Ethiopia",2018,11501244,"137","26","53.6","32.6","40.9","35.1","77.2","90.4","83.3","48.6","58.0","60.8","60.8","35","20","12.1","35.0","30.0","12.4","17.9","92.7","$200.2 ","10.9","9.9","$2,161","5.2","9.9","3,586.4","56.2",2015,0.3,2015,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.501132998,"2014","113727","2014","116.8",NA,NA,0,0,0
"FIN","Finland",2018,13364839,"20","11","74.9","89.6","81.2","92.5","66.8","7.2","86.4","89.4","50.3","84.8","86.0","85","80","2.0","31.3","20.0","44.1","55.6","5.5","$244.0 ","3.0","0.8","$44,333","8.6","0.8","1,327.9","61.4",2015,4.4,2015,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,21.72078755,"2017","3082","2017","55.8",2017,4271,51,0,40
"FJI","Fiji",2018,1670216,"81","18","62.2","67.3","42.9","23.4","81.1","71.7","82.4","63.0","72.9","73.5","62.8","55","50","11.1","29.0","20.0","25.5","30.7","0.9","$8.7 ","3.8","3.7","$9,777","6.3","3.4","299.0","46.6",2011,2.3,2011,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,5.449680413,"2016","1826","2016","203.2",NA,NA,0,0,0
"FRA","France",2018,70188028,"71","35","63.8","82.5","66.1","67.9","48.4","3.9","64.9","81.2","45.2","79.1","81.0","75","70","2.0","45.0","33.0","45.3","56.6","64.8","$2,835.8 ","1.8","1.1","$43,761","9.4","1.2","49,794.9","97.0",2013,6.5,2013,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,20.03462475,"2017","68974","2017","106.1",2017,93276.78,504,1,327
"FRO","Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","6","2017","12.2",NA,NA,0,0,0
"FSM","Micronesia (Federated States of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,3.2,2009,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.996803977,NA,NA,NA,NA,NA,NA,0,0,0
