"country_code","country","air_year","air_passengers","econ_worldrank","econ_regionrank","econ_2019score","econ_propertyrights","econ_judical","econ_gov_integrity","econ_taxburden","econ_govspending","econ_fiscalhealth","econ_businessfreedom","econ_laborfreedom","econ_monetaryfreedom","econ_tradefreedom","econ_investmentfreedom","econ_financialfreedom","econ_tariffrate","econ_incometaxrate","econ_corporatetaxrate","econ_taxburdengdp","econ_govexpendgdp","econ_popmills","econ_gdpbills","econ_gdpgrowthrate","econ_yeargdpgrowthrate","econ_gdppercapita","econ_unemployment","econ_inflation","econ_fdiflowmills","econ_publicdeptofgdp","hospbeds_year","hospbeds_per1k","docs_year","docs_per1k","pollution_960","pollution_961","pollution_962","pollution_963","pollution_964","pollution_965","pollution_966","pollution_967","pollution_968","pollution_969","pollution_970","pollution_971","pollution_972","pollution_973","pollution_974","pollution_975","pollution_976","pollution_977","pollution_978","pollution_979","pollution_980","pollution_981","pollution_982","pollution_983","pollution_984","pollution_985","pollution_986","pollution_987","pollution_988","pollution_989","pollution_990","pollution_991","pollution_992","pollution_993","pollution_994","pollution_995","pollution_996","pollution_997","pollution_998","pollution_999","pollution_000","pollution_001","pollution_002","pollution_003","pollution_004","pollution_005","pollution_006","pollution_007","pollution_008","pollution_009","pollution_010","pollution_011","pollution_012","pollution_013","pollution_014","pollution_015","pollution_016","pollution_017","pollution_018","pollution_019","pop65above_year","pop65above_percent","prisoncount_year","prison_count","prisonrate_year","prison_rate","rail_year","rail_millionpassengerkm","sars_cases","sars_deaths","sars_recovered"
"AUS","Australia",2018,75667645.03,"5","4","80.9","79.1","86.5","79.9","62.8","60.1","86.2","88.3","84.1","86.6","87.6","80","90","1.2","45.0","30.0","28.2","36.5","24.8","$1,246.5 ","2.3","2.4","$50,334","5.6","2.0","46,368.0","41.6",2014,3.8,2014,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,15.65647523,"2017","41202","2017","168.5",2010,1499.936536,49,0,41
"AUT","Austria",2018,12935505,"31","16","72.0","84.2","71.3","77.4","50.5","24.5","85.5","74.9","68.7","81.5","86.0","90","70","2.0","50.0","25.0","42.7","50.2","8.8","$439.6 ","2.9","1.3","$49,869","5.5","2.2","9,629.6","78.8",2013,7.6,2013,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,19.00156646,"2017","8692","2017","99.5",2017,12019.423,0,0,0
"AZE","Azerbaijan",2018,2279546,"60","13","65.4","59.1","53.1","44.7","87.5","59.5","89.4","69.5","63.9","63.0","74.6","60","60","5.2","25.0","20.0","15.0","36.7","9.8","$171.8 ","0.1","1.2","$17,492","5.0","13.0","2,867.0","54.7",2013,4.7,2013,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,6.195182751,"2017","23319","2017","237.3",2018,468.3,0,0,0
"BDI","Burundi",1998,12000,"162","39","48.9","20.6","31.0","26.2","74.0","83.3","23.3","50.3","67.5","62.2","68.2","50","30","5.9","35.0","35.0","12.3","23.6","10.9","$8.0 ","0.0","1.1","$735","1.6","16.6","0.3","56.7",2014,0.8,2014,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.24694046,"2017","10093","2017","92.9",NA,NA,0,0,0
"BEL","Belgium",2018,13639487,"48","25","67.3","81.3","61.6","72.5","47.1","15.2","73.4","78.1","61.0","76.1","86.0","85","70","2.0","50.0","29.0","44.2","53.2","11.4","$528.5 ","1.7","1.2","$46,553","7.4","2.2","740.4","103.2",2014,6.2,2014,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,18.78874374,"2017","10073","2017","88.1",2018,10710,5,0,0
"BEN","Benin",2016,899,"127","21","55.3","37.2","32.8","28.1","69.3","83.4","27.9","62.4","53.8","86.4","61.8","70","50","11.6","45.0","30.0","11.9","23.5","11.1","$25.3 ","5.6","5.0","$2,277","2.5","0.1","184.4","54.6",2010,0.5,2010,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3.253605297,"2017","7801","2017","69.8",2003,66,0,0,0
"BFA","Burkina Faso",2018,151531,"96","9","59.4","49.1","42.9","36.6","81.9","80.0","61.8","51.6","52.3","86.2","65.2","65","40","7.4","27.5","28.0","16.3","25.8","18.9","$35.8 ","6.4","5.3","$1,889","6.3","0.4","485.9","38.3",2010,0.4,2010,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.406980829,"2016","7670","2016","41.1",NA,NA,0,0,0
"BGD","Bangladesh",2018,5984155.212,"121","27","55.6","36.1","34.5","24.4","72.7","94.5","77.6","50.9","68.2","69.9","63.6","45","30","10.7","25.0","45.0","8.8","13.6","163.2","$687.1 ","7.1","6.7","$4,211","4.4","5.7","2,151.6","32.4",2015,0.8,2015,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,5.15839064,"2017","88424","2017","53.7",2016,10040,0,0,0
"BGR","Bulgaria",2018,1022645,"37","19","69.0","62.5","41.9","35.1","90.2","63.9","98.8","62.7","68.4","88.0","86.0","70","60","2.0","10.0","10.0","28.0","34.7","7.1","$153.1 ","3.6","2.7","$21,687","6.2","1.2","1,070.7","23.9",2013,6.8,2013,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,21.02191443,"2017","6988","2017","98.6",2018,1479.39,20,0,0
"BHR","Bahrain",2018,5877003,"54","5","66.4","63.5","50.7","53.6","99.7","62.7","3.7","71.4","71.1","81.6","83.8","75","80","3.1","0.0","0.0","5.6","35.3","1.5","$70.4 ","3.2","3.8","$48,505","1.2","1.4","518.9","90.3",2014,2,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.426333878,"2017","3485","2017","233.4",NA,NA,0,0,0
